timestamp;date_gmt;status;attendance;home_team_name;away_team_name;gameweek;prematchppghome;prematchppgaway;home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_ht_fhg_percentage_pre_match;over_05_ht_fhg_percentage_pre_match;over_15_2hg_percentage_pre_match;over_05_2hg_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;detalhe;liga;mes;dia;ano;data
1610820000;Jan_16_2021___6_00pm;complete;;novaiguaçu;friburguense;1.0;0.0;0.0;1.75;0.2;1;0;1;1;1;0;31;;6.0;3.0;;;;;;;;;17.0;6.0;5.0;4.0;12.0;2.0;;;49.0;51.0;1.81;0.95;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;-3;missing;01;16;2021;20210116
1610820000;Jan_16_2021___6_00pm;complete;;americarj;sampaiocorrearj;1.0;0.0;0.0;1.2;1.4;1;1;2;2;1;1;38;43;3.0;5.0;;;;;;;;;8.0;8.0;4.0;3.0;4.0;5.0;;;45.0;55.0;1.07;1.1;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;-3;missing;01;16;2021;20210116
1610820000;Jan_16_2021___6_00pm;complete;;americano;cabofriense;1.0;0.0;0.0;1.0;2.1;3;2;5;4;2;2;10_32_90_4;20_37;3.0;6.0;;;;;;;;;13.0;16.0;8.0;11.0;5.0;5.0;;;50.0;50.0;1.66;2.02;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;-3;missing;01;16;2021;20210116
1611165600;Jan_20_2021___6_00pm;complete;;friburguense;americano;2.0;0.0;3.0;0.2;1.0;1;1;2;2;1;1;44;18;7.0;3.0;;;;;;;;;15.0;8.0;3.0;4.0;12.0;4.0;;;62.0;38.0;1.76;1.05;3.0;50;50;50;50;50;50;100;0;50;6.0;;-3;missing;01;20;2021;20210120
1611165600;Jan_20_2021___6_00pm;complete;;sampaiocorrearj;novaiguaçu;2.0;1.0;3.0;1.4;1.75;1;2;3;1;0;1;57;15_85;7.0;0.0;;;;;;;;;15.0;13.0;8.0;8.0;7.0;5.0;;;62.0;38.0;1.82;1.61;1.5;50;50;0;0;0;50;100;0;0;11.0;;-3;missing;01;20;2021;20210120
1611165600;Jan_20_2021___6_00pm;complete;;cabofriense;americarj;2.0;0.0;1.0;2.1;1.2;0;0;0;0;0;0;;;7.0;9.0;;;;;;;;;3.0;5.0;0.0;0.0;3.0;5.0;;;52.0;48.0;0.73;0.82;3.5;100;100;50;50;50;100;100;0;50;9.0;;-3;missing;01;20;2021;20210120
1611426600;Jan_23_2021___6_30pm;complete;;cabofriense;friburguense;3.0;0.5;0.5;2.1;0.2;2;1;3;2;1;1;45_8_60;5;5.0;9.0;;;;;;;;;19.0;6.0;6.0;3.0;13.0;3.0;;;54.0;46.0;2.04;1.02;2.0;50;50;25;25;25;50;75;0;25;11.5;;-3;missing;01;23;2021;20210123
1611426600;Jan_23_2021___6_30pm;complete;;americano;sampaiocorrearj;3.0;2.0;0.5;1.0;1.4;1;2;3;2;1;1;12;45_6_85;2.0;4.0;;;;;;;;;9.0;9.0;5.0;3.0;4.0;6.0;;;44.0;56.0;1.17;1.11;3.0;100;100;50;25;25;75;100;25;50;9.0;;-3;missing;01;23;2021;20210123
1611426600;Jan_23_2021___6_30pm;complete;;americarj;novaiguaçu;3.0;1.0;3.0;1.2;1.75;1;1;2;2;1;1;40;33;4.0;8.0;;;;;;;;;7.0;7.0;2.0;3.0;5.0;4.0;;;50.0;50.0;1.04;1.19;1.5;50;50;25;0;0;25;75;25;25;9.0;;-3;missing;01;23;2021;20210123
1611772200;Jan_27_2021___6_30pm;complete;;friburguense;americarj;4.0;0.33;1.0;0.2;1.2;1;2;3;0;0;0;64;56_71;12.0;1.0;;;;;;;;;4.0;5.0;2.0;3.0;2.0;2.0;;;57.0;43.0;1.0;0.85;1.67;67;67;17;0;0;67;84;0;17;11.66;;-3;missing;01;27;2021;20210127
1611772200;Jan_27_2021___6_30pm;complete;;novaiguaçu;americano;4.0;2.33;1.33;1.75;1.0;1;0;1;1;1;0;9;;4.0;3.0;;;;;;;;;12.0;9.0;7.0;2.0;5.0;7.0;;;44.0;56.0;1.57;1.13;2.67;84;84;50;17;17;67;100;17;50;7.34;;-3;missing;01;27;2021;20210127
1611772200;Jan_27_2021___6_30pm;complete;;sampaiocorrearj;cabofriense;4.0;1.33;1.33;1.4;2.1;0;1;1;0;0;0;;61;1.0;1.0;;;;;;;;;2.0;3.0;2.0;2.0;0.0;1.0;;;54.0;46.0;0.3;0.35;2.67;84;84;67;17;17;67;84;17;67;11.33;;-3;missing;01;27;2021;20210127
1612031400;Jan_30_2021___6_30pm;complete;;americano;americarj;5.0;1.0;1.5;1.0;1.2;3;0;3;2;2;0;13_40_90_4;;3.0;10.0;;;;;;;;;14.0;17.0;6.0;10.0;8.0;7.0;;;45.0;55.0;1.56;2.02;2.25;75;75;38;13;13;63;75;13;38;7.0;;-3;missing;01;30;2021;20210130
1612031400;Jan_30_2021___6_30pm;complete;;cabofriense;novaiguaçu;5.0;1.75;2.5;2.1;1.75;1;0;1;1;1;0;5;;5.0;9.0;;;;;;;;;5.0;10.0;3.0;6.0;2.0;4.0;;;41.0;59.0;0.81;1.57;2.0;50;50;38;13;13;38;75;13;50;9.25;;-3;missing;01;30;2021;20210130
1612031400;Jan_30_2021___6_30pm;complete;;friburguense;sampaiocorrearj;5.0;0.25;1.0;0.2;1.4;1;2;3;1;0;1;49;30_90_2;8.0;3.0;;;;;;;;;6.0;7.0;2.0;4.0;4.0;3.0;;;49.0;51.0;1.22;1.26;2.25;75;75;50;0;0;50;75;25;63;12.0;;-3;missing;01;30;2021;20210130
1612377000;Feb_03_2021___6_30pm;complete;;cabofriense;americano;6.0;2.0;1.4;2.1;1.0;2;1;3;2;1;1;42_58;45;1.0;8.0;;;;;;;;;5.0;2.0;4.0;2.0;1.0;0.0;;;46.0;54.0;1.05;0.69;2.4;50;60;50;20;20;60;80;0;60;7.6;;-3;missing;02;03;2021;20210203
1612377000;Feb_03_2021___6_30pm;complete;;friburguense;novaiguaçu;6.0;0.2;2.0;0.2;1.75;0;1;1;0;0;0;;68;6.0;6.0;;;;;;;;;9.0;13.0;4.0;7.0;5.0;6.0;;;53.0;47.0;1.34;1.66;2.0;60;60;40;0;0;30;90;30;40;13.2;;-3;missing;02;03;2021;20210203
1612377000;Feb_03_2021___6_30pm;complete;;sampaiocorrearj;americarj;6.0;1.4;1.2;1.4;1.2;0;0;0;0;0;0;;;3.0;10.0;;;;;;;;;4.0;5.0;2.0;4.0;2.0;1.0;;;46.0;54.0;0.55;0.73;2.2;70;80;50;0;0;50;70;30;60;9.4;;-3;missing;02;03;2021;20210203
1612636200;Feb_06_2021___6_30pm;complete;;americano;friburguense;7.0;1.17;0.17;1.0;0.2;2;1;3;1;1;0;31_78;55;4.0;3.0;;;;;;;;;9.0;15.0;6.0;6.0;3.0;9.0;;;49.0;51.0;1.31;1.84;2.5;67;75;59;9;9;58;84;17;67;11.17;;-3;missing;02;06;2021;20210206
1612636200;Feb_06_2021___6_30pm;complete;;novaiguaçu;sampaiocorrearj;7.0;2.17;1.33;1.75;1.4;1;0;1;1;1;0;8;;3.0;3.0;;;;;;;;;5.0;6.0;2.0;0.0;3.0;6.0;;;40.0;60.0;0.72;0.71;1.75;50;50;34;0;0;25;75;25;50;9.33;;-3;missing;02;06;2021;20210206
1612647000;Feb_06_2021___9_30pm;complete;;americarj;cabofriense;7.0;1.17;2.17;1.2;2.1;1;1;2;0;0;0;64;81;4.0;7.0;;;;;;;;;8.0;7.0;2.0;2.0;6.0;5.0;;;47.0;53.0;1.13;1.05;1.92;50;59;42;9;9;50;59;9;50;10.34;;-3;missing;02;06;2021;20210206
1612981800;Feb_10_2021___6_30pm;complete;;friburguense;cabofriense;8.0;0.14;2.0;0.2;2.1;2;5;7;3;1;2;21_46;33_35_50_52_54;3.0;6.0;;;;;;;;;10.0;14.0;6.0;8.0;4.0;6.0;;;46.0;54.0;1.29;1.77;2.22;64;64;50;7;7;36;64;29;71;11.43;;-3;missing;02;10;2021;20210210
1612981800;Feb_10_2021___6_30pm;complete;;sampaiocorrearj;americano;8.0;1.14;1.43;1.4;1.0;2;0;2;1;1;0;45_1_47;;0.0;4.0;;;;;;;;;4.0;0.0;3.0;0.0;1.0;0.0;;;50.0;50.0;0.51;0.0;2.36;64;72;57;7;7;50;86;22;64;7.42;;-3;missing;02;10;2021;20210210
1612981800;Feb_10_2021___6_30pm;complete;;novaiguaçu;americarj;8.0;2.29;1.14;1.75;1.2;1;0;1;0;0;0;46;;6.0;0.0;;;;;;;;;7.0;4.0;2.0;0.0;5.0;4.0;;;55.0;45.0;1.08;0.69;1.57;43;50;22;0;0;29;65;22;36;11.0;;-3;missing;02;10;2021;20210210
